# Cycle: 1
# Start Time: 2026-01-21 14:15:23
# Sample Rate: 100 Hz
# Format: Timestamp(ms),Ax(m/s²),Ay,Az,Gx(°/s),Gy,Gz
Timestamp,Ax,Ay,Az,Gx,Gy,Gz
3848,-0.804,4.215,8.796,-0.390,0.037,0.181
3858,-0.793,4.200,8.832,-0.390,0.053,0.212
3868,-0.799,4.217,8.809,-0.421,0.007,0.242
3878,-0.788,4.216,8.806,-0.421,0.007,0.257
3888,-0.800,4.225,8.804,-0.436,-0.024,0.227
3898,-0.786,4.234,8.818,-0.390,-0.024,0.242
3908,-0.799,4.226,8.810,-0.467,0.007,0.212
3918,-0.792,4.225,8.821,-0.482,0.022,0.212
3928,-0.791,4.225,8.844,-0.497,0.083,0.166
3938,-0.801,4.203,8.810,-0.436,0.114,0.090
3948,-0.800,4.221,8.786,-0.375,0.144,0.074
3958,-0.806,4.196,8.822,-0.452,0.159,0.059
3968,-0.813,4.210,8.809,-0.482,0.007,0.120
3978,-0.784,4.213,8.818,-0.528,0.053,0.135
3988,-0.781,4.231,8.832,-0.528,0.114,0.166
3998,-0.786,4.215,8.806,-0.558,0.098,0.166
4008,-0.807,4.215,8.827,-0.558,0.068,0.181
4018,-0.803,4.228,8.830,-0.543,0.053,0.212
4048,-0.806,4.216,8.814,-0.238,-0.039,0.151
4058,-0.785,4.216,8.815,-0.284,-0.100,0.120
4068,-0.794,4.225,8.857,-0.314,-0.008,0.135
4078,-0.818,4.240,8.828,-0.345,-0.039,0.120
4088,-0.805,4.233,8.836,-0.513,0.098,0.166
4098,-0.807,4.216,8.818,-0.589,0.159,0.151
4108,-0.795,4.221,8.814,-0.604,0.144,0.135
4118,-0.793,4.215,8.826,-0.619,0.114,0.120
4128,-0.799,4.227,8.821,-0.604,0.129,0.135
4138,-0.781,4.209,8.817,-0.482,0.098,0.151
4148,-0.789,4.226,8.827,-0.452,0.068,0.120
4158,-0.787,4.216,8.816,-0.452,0.068,0.151
4168,-0.775,4.217,8.798,-0.360,0.037,0.166
4178,-0.784,4.226,8.823,-0.345,0.037,0.181
4188,-0.818,4.216,8.810,-0.345,0.037,0.227
4198,-0.810,4.213,8.808,-0.360,-0.008,0.227
4208,-0.818,4.222,8.792,-0.436,-0.008,0.257
4218,-0.791,4.220,8.823,-0.482,0.022,0.166
4228,-0.799,4.231,8.820,-0.543,0.083,0.196
4238,-0.786,4.233,8.865,-0.574,0.098,0.212
4248,-0.791,4.203,8.853,-0.543,0.129,0.135
4258,-0.803,4.196,8.811,-0.497,0.159,0.120
4268,-0.807,4.226,8.800,-0.467,0.083,0.090
4278,-0.818,4.220,8.794,-0.497,0.068,0.059
4288,-0.809,4.207,8.829,-0.436,0.022,0.059
4298,-0.794,4.215,8.811,-0.375,0.037,0.105
4308,-0.801,4.227,8.812,-0.421,0.068,0.105
4318,-0.803,4.215,8.810,-0.452,0.129,0.151
4328,-0.791,4.217,8.786,-0.513,0.037,0.166
4338,-0.803,4.209,8.806,-0.574,0.068,0.151
4348,-0.800,4.226,8.804,-0.467,0.037,0.212
4358,-0.805,4.228,8.790,-0.421,0.007,0.181
4368,-0.801,4.228,8.778,-0.436,0.007,0.181
4378,-0.792,4.228,8.797,-0.375,-0.008,0.181
4388,-0.786,4.222,8.823,-0.375,-0.008,0.135
4398,-0.800,4.213,8.820,-0.360,0.022,0.181
4408,-0.801,4.210,8.800,-0.390,0.053,0.151
4418,-0.789,4.221,8.841,-0.482,0.098,0.166
4428,-0.797,4.229,8.800,-0.528,0.098,0.166
4438,-0.800,4.221,8.835,-0.574,0.144,0.181
4448,-0.793,4.227,8.809,-0.558,0.114,0.181
4458,-0.800,4.195,8.823,-0.543,0.083,0.151
4468,-0.797,4.216,8.827,-0.482,0.053,0.181
4478,-0.780,4.233,8.814,-0.436,0.068,0.212
4488,-0.786,4.228,8.798,-0.436,0.083,0.196
4498,-0.785,4.219,8.814,-0.360,0.053,0.120
4508,-0.799,4.232,8.810,-0.329,0.053,0.181
4518,-0.781,4.213,8.821,-0.360,0.053,0.166
4528,-0.788,4.207,8.773,-0.436,0.037,0.181
4538,-0.793,4.214,8.800,-0.406,0.083,0.151
4548,-0.784,4.205,8.816,-0.482,0.114,0.166
4558,-0.806,4.213,8.824,-0.543,0.114,0.105
4568,-0.800,4.214,8.827,-0.619,0.098,0.181
4578,-0.807,4.197,8.840,-0.558,0.083,0.105
4588,-0.804,4.211,8.834,-0.497,0.144,0.135
4598,-0.784,4.240,8.816,-0.406,0.068,0.135
4608,-0.798,4.219,8.810,-0.436,0.022,0.151
4618,-0.806,4.216,8.806,-0.406,0.007,0.151
4628,-0.794,4.228,8.822,-0.390,0.022,0.166
4638,-0.807,4.228,8.826,-0.406,0.068,0.135
4648,-0.794,4.208,8.842,-0.421,0.037,0.181
4658,-0.789,4.225,8.844,-0.467,0.083,0.166
4668,-0.810,4.219,8.840,-0.482,0.083,0.227
4678,-0.800,4.238,8.822,-0.497,0.053,0.212
4688,-0.807,4.222,8.833,-0.482,0.037,0.227
4698,-0.800,4.214,8.832,-0.452,0.037,0.151
4708,-0.799,4.222,8.841,-0.406,0.053,0.151
4718,-0.801,4.217,8.846,-0.390,0.037,0.120
4728,-0.800,4.228,8.800,-0.406,0.098,0.120
4738,-0.803,4.196,8.787,-0.360,0.083,0.166
